Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,Gate length (ns),CZ error,RZZ error,MEASURE error,Operational
23,178.6495719,155.0090096,0.004272461,0.006835938,0.001708984,1560,0.000122303,24,0.000122303,0,0.000122303,0.000122303,22:68;24:68;16:68,22:0.006096863307994194;24:0.0037692965106247978;16:0.002829295394578296,22:0.005319197438505452;24:0.00305606020388946;16:0.0021806831725451614,0.004272461,Yes
24,80.77841644,90.85302119,0.007446289,0.010009766,0.004882813,1560,0.000589258,24,0.000589258,0,0.000589258,0.000589258,23:68;25:68,23:0.0037692965106247978;25:0.019833685722311117,23:0.00305606020388946;25:0.016798203697257263,0.007446289,Yes
25,111.4872509,87.46422968,0.00793457,0.008544922,0.007324219,1560,0.000264764,24,0.000264764,0,0.000264764,0.000264764,24:68;26:68;37:68,24:0.019833685722311117;26:0.0023864626712779835;37:0.0016352006156602206,24:0.016798203697257263;26:0.0018929802208737245;37:0.0015366717585121037,0.00793457,Yes
26,116.874699,83.16768511,0.005737305,0.006347656,0.005126953,1560,0.000225594,24,0.000225594,0,0.000225594,0.000225594,25:68;27:68,25:0.0023864626712779835;27:0.023287835611016328,25:0.0018929802208737245;27:0.03258933445617446,0.005737305,Yes
27,101.866986,111.127028,0.01184082,0.019042969,0.002685547,1560,0.004417125,24,0.004417125,0,0.004417125,0.004417125,26:68;28:68;17:68,26:0.023287835611016328;17:0.029762211692577117,26:0.03258933445617446;28:0.06343663990927914;17:0.03132344361553149,0.01184082,Yes
28,169.7028145,133.1825806,0.006347656,0.008300781,0.004394531,1560,0.000231087,24,0.000231087,0,0.000231087,0.000231087,27:68;29:68,29:00.0,27:0.06343663990927914;29:0.002704794324207338,0.006347656,Yes
29,78.42546358,42.65600467,0.011962891,0.016601563,0.007324219,1560,0.000174702,24,0.000174702,0,0.000174702,0.000174702,38:68;28:68;30:68,38:0.0020157756568810192;28:0.0038259232686851663;30:0.0021258724538555096,38:0.002432860052431568;28:0.002704794324207338;30:0.0021692948886132823,0.011962891,Yes
30,104.7428752,96.35902887,0.006958008,0.007080078,0.006835938,1560,0.000220145,24,0.000220145,0,0.000220145,0.000220145,31:68;29:68,31:0.003268749459586051;29:0.0021258724538555096,31:0.003171748435405908;29:0.0021692948886132823,0.006958008,Yes
31,49.43429596,40.99570992,0.01940918,0.025878906,0.012939453,1560,0.000500624,24,0.000500624,0,0.000500624,0.000500624,30:68;32:68;18:68,30:0.003268749459586051;32:0.028970407082163918;18:0.0035831570204043206,30:0.003171748435405908;32:0.008009177138157603;18:0.00397368407912696,0.01940918,Yes
32,115.9980552,116.9434713,0.03112793,0.032226563,0.030029297,1560,0.000290045,24,0.000290045,0,0.000290045,0.000290045,31:68;33:68,31:00.0,31:00.0,0.03112793,Yes
33,109.3630604,133.6827218,0.016235352,0.021240234,0.011230469,1560,0.000191451,24,0.000191451,0,0.000191451,0.000191451,39:68;32:68;34:68,39:0.0019493405544732667;34:0.002218753577180682,39:0.0019521427782045742;34:0.002120296519061371,0.016235352,Yes
34,116.5450739,71.15277849,0.014282227,0.017089844,0.011474609,1560,0.000303305,24,0.000303305,0,0.000303305,0.000303305,33:68;35:68,33:0.002218753577180682;35:0.0018472917794627175,33:0.002120296519061371;35:0.002043180472941719,0.014282227,Yes
35,149.7597461,44.12308087,0.038208008,0.068359375,0.008056641,1560,0.000271542,24,0.000271542,0,0.000271542,0.000271542,19:68;34:68,19:0.0017682040013378975;34:0.0018472917794627175,19:0.0017571537419238947;34:0.002043180472941719,0.038208008,Yes
36,170.5539056,131.8566947,0.006591797,0.006835938,0.006347656,1560,0.000452012,24,0.000452012,0,0.000452012,0.000452012,41:68;21:68,41:0.003117205722593497;21:0.006271286015919364,41:0.002578529888340342;21:0.005224402541067097,0.006591797,Yes
37,137.2044132,150.4166085,0.009521484,0.011230469,0.0078125,1560,0.000211022,24,0.000211022,0,0.000211022,0.000211022,45:68;25:68,45:0.0019675134009410067;25:0.0016352006156602206,45:0.001865733603789943;25:0.0015366717585121037,0.009521484,Yes
38,103.1402812,124.8720807,0.00793457,0.009765625,0.006103516,1560,0.000337349,24,0.000337349,0,0.000337349,0.000337349,29:68;49:68,29:0.0020157756568810192;49:0.003107233044334551,29:0.002432860052431568;49:0.002618334694196922,0.00793457,Yes
39,59.15941884,72.71054367,0.015625,0.01953125,0.01171875,1560,0.000354206,24,0.000354206,0,0.000354206,0.000354206,53:68;33:68,53:0.0021036252914276576;33:0.0019493405544732667,53:0.002033933078748912;33:0.0019521427782045742,0.015625,Yes
40,148.5137604,169.5536326,0.019287109,0.018554688,0.020019531,1560,0.000243739,24,0.000243739,0,0.000243739,0.000243739,41:68,41:00.0,41:00.0,0.019287109,Yes
41,176.2380693,123.5667291,0.059692383,0.079833984,0.039550781,1560,0.00023536,24,0.00023536,0,0.00023536,0.00023536,40:68;42:68;36:68,40:0.0016796392844562469;42:0.00287746872200742;36:0.003117205722593497,40:0.001593286356035395;42:0.00290727374677191;36:0.002578529888340342,0.059692383,Yes
42,141.6227712,40.26397408,0.013671875,0.010986328,0.016357422,1560,0.000250033,24,0.000250033,0,0.000250033,0.000250033,41:68;43:68,41:0.00287746872200742;43:0.0057395329581704235,41:0.00290727374677191;43:0.0072005987211757605,0.013671875,Yes
43,149.7196561,86.2824229,0.10144043,0.090576172,0.112304688,1560,0.001001715,24,0.001001715,0,0.001001715,0.001001715,42:68;56:68;44:68,42:0.0057395329581704235;56:0.004949000146164478;44:0.023558356935122565,42:0.0072005987211757605;56:0.005817310369008816;44:0.030458884491840865,0.10144043,Yes
44,159.3088079,149.4882365,0.006958008,0.008300781,0.003417969,1560,0.000468577,24,0.000468577,0,0.000468577,0.000468577,45:68;43:68,45:0.0024261544898706855;43:0.023558356935122565,45:0.0022185795313596768;43:0.030458884491840865,0.006958008,Yes
45,119.1037841,130.9866103,0.050292969,0.044433594,0.056152344,1560,0.000189709,24,0.000189709,0,0.000189709,0.000189709,44:68;46:68;37:68,44:0.0024261544898706855;46:0.003075408887807607;37:0.0019675134009410067,44:0.0022185795313596768;46:0.002903204457442743;37:0.001865733603789943,0.050292969,Yes
46,141.5684265,12.79498123,0.005004883,0.006835938,0.003173828,1560,0.000339538,24,0.000339538,0,0.000339538,0.000339538,45:68;47:68,45:0.003075408887807607;47:0.002493294806595381,45:0.002903204457442743;47:0.0023163667827966195,0.005004883,Yes
47,76.73984112,48.27743454,0.026367188,0.026367188,0.026367188,1560,0.000288076,24,0.000288076,0,0.000288076,0.000288076,48:68;57:68;46:68,48:0.0019514270726603278;57:0.002530762863791225;46:0.002493294806595381,48:0.0015601554954152719;57:0.0022798900762716623;46:0.0023163667827966195,0.026367188,Yes
48,132.5766216,36.72950049,0.005493164,0.009033203,0.001953125,1560,0.000240492,24,0.000240492,0,0.000240492,0.000240492,47:68;49:68,47:0.0019514270726603278;49:0.0026565889936757126,47:0.0015601554954152719;49:0.0024514629776298535,0.005493164,Yes
49,51.33804326,26.30156683,0.022705078,0.026611328,0.018798828,1560,0.000418582,24,0.000418582,0,0.000418582,0.000418582,48:68;50:68;38:68,48:0.0026565889936757126;50:0.002924334787429983;38:0.003107233044334551,48:0.0024514629776298535;50:0.0027520041726453726;38:0.002618334694196922,0.022705078,Yes
50,133.6298615,114.0656621,0.004394531,0.004394531,0.004394531,1560,0.000288482,24,0.000288482,0,0.000288482,0.000288482,49:68;51:68,49:0.002924334787429983;51:0.0028779235729684827,49:0.0027520041726453726;51:0.0023744094324885112,0.004394531,Yes
51,68.03693302,74.56166918,0.036743164,0.036621094,0.036865234,1560,0.000315821,24,0.000315821,0,0.000315821,0.000315821,50:68;52:68;58:68,50:0.0028779235729684827;52:0.0016403412441781673;58:0.0034449588126100883,50:0.0023744094324885112;52:0.0019668118574213134;58:0.002912397241182141,0.036743164,Yes
52,129.1216408,29.82564094,0.014160156,0.023681641,0.004638672,1560,0.000266756,24,0.000266756,0,0.000266756,0.000266756,51:68;53:68,51:0.0016403412441781673;53:0.002461566746695759,51:0.0019668118574213134;53:0.002417341758023328,0.014160156,Yes
53,104.4177055,14.71214167,0.052124023,0.052978516,0.051269531,1560,0.000141917,24,0.000141917,0,0.000141917,0.000141917,39:68;52:68;54:68,39:0.0021036252914276576;52:0.002461566746695759;54:0.004675754495944373,39:0.002033933078748912;52:0.002417341758023328;54:0.0037340957865139024,0.052124023,Yes
54,116.4769346,147.9536119,0.008300781,0.008544922,0.008056641,1560,0.000766366,24,0.000766366,0,0.000766366,0.000766366,53:68;55:68,53:0.004675754495944373;55:0.002730915416867208,53:0.0037340957865139024;55:0.002320168525956484,0.008300781,Yes
55,96.34575505,109.6293775,0.061523438,0.099609375,0.0234375,1560,0.000668932,24,0.000668932,0,0.000668932,0.000668932,59:68;54:68,59:0.0030858879533948724;54:0.002730915416867208,59:0.0021283861587940434;54:0.002320168525956484,0.061523438,Yes
56,174.0109801,193.6003726,0.008666992,0.011962891,0.005371094,1560,0.000292151,24,0.000292151,0,0.000292151,0.000292151,63:68;43:68,63:0.004861338213631522;43:0.004949000146164478,63:0.00571987544685712;43:0.005817310369008816,0.008666992,Yes
57,81.08953109,53.55623393,0.007324219,0.012451172,0.002197266,1560,0.000233979,24,0.000233979,0,0.000233979,0.000233979,47:68;67:68,47:0.002530762863791225;67:0.005880970578607869,47:0.0022798900762716623;67:0.004716807415109159,0.007324219,Yes
58,69.53208133,93.50833793,0.008178711,0.012451172,0.00390625,1560,0.000415168,24,0.000415168,0,0.000415168,0.000415168,71:68;51:68,71:0.002567404712125243;51:0.0034449588126100883,71:0.0023779373885768618;51:0.002912397241182141,0.008178711,Yes
59,150.9478476,77.26193409,0.008911133,0.010009766,0.0078125,1560,0.000414921,24,0.000414921,0,0.000414921,0.000414921,55:68;75:68,55:0.0030858879533948724;75:0.0028720229169467704,55:0.0021283861587940434;75:0.002546316932020204,0.008911133,Yes
